title,abstract,year,doi
Avian Mortality at Oil Pits in the United States: A Review of the Problem and Efforts for Its Solution,"Oil production operations produce waste fluids that may be stored in pits, open tanks, and other sites accessible to wildlife. Birds visit these fluid-filled pits and tanks (""oil pits""), which often resemble water sources, and may become trapped and die. The US Fish and Wildlife Service (USFWS) has a program to reduce these impacts by locating problem pits, documenting mortality of protected wildlife species, and seeking cleanup or corrective action at problem pits with the help of state and federal agencies regulating the oil industry. Species identification and verification of protected status for birds recovered from oil pits are performed at the USFWS National Fish and Wildlife Forensics Laboratory. From 1992 to 2005, a minimum of 2060 individual birds were identified from remains recovered from oil pits, representing 172 species from 44 families. The taxonomic and ecological diversity of these birds indicates that oil pits pose a threat to virtually all species of birds that encounter them. Ninety-two percent of identified bird remains belonged to protected species. Most remains identified at the Forensics Laboratory were from passerines, particularly ground-foraging species. Based on Forensics Laboratory and USFWS field data, oil pits currently cause the deaths of 500,000-1 million birds per year. Although law enforcement and industry efforts have produced genuine progress on this issue, oil pits remain a significant source of mortality for birds in the United States.",2006,10.1007/s00267-005-0201-7
"Hybridization between the Mallard and native dabbling ducks: causes, consequences and management.","Waterbirds are currently facing various threats throughout the world. One threat that is often overlooked is hybridization with introduced species. This threatening process is especially significant for dabbling ducks (Genus Anas). The Mallard (Anas platyrhynchos) has been introduced to various parts of the world and now hybridizes and threatens numerous Anas species. In this paper, we review hybridization between Mallards and dabbling ducks with a specific emphasis on threats to the Pacific Black Duck (A. superciliosa). We then present an overview of the potential mechanisms of hybridization and discuss monitoring techniques. We conclude by proposing management strategies and speculating on the future of native dabbling duck species.",2014,10.1071/PC140041
Concerns regarding the scientific evidence informing impact risk assessment and management recommendations for invasive birds,"Invasive species can be a major threat to biodiversity and economy. Given the large number of introduced invasive species and the limited resources available, a rigorous assessment of the potential impact of these species is of vital importance for prioritizing management programs. Often, general scoring systems in which certain criteria are used to assess the impact of an invader along several impact categories are applied to obtain a ranking of troublesome invaders. Likewise, Kumschick and Nentwig (2010) provided a first categorization of invasive bird impacts in Europe, and argued that several invasive birds should be eradicated because of the threat they pose to biodiversity.
This is surprising, as recent reviews suggest that there is little evidence that invasive birds strongly impact biodiversity. We therefore re-evaluated this risk assessment. We found that in the majority of cases, the evidence presented to support impact claims is weak, as they are generally not based on direct scientific research but on often anecdotal observations relating to small areas only. Moreover, even if all claims would materialize, this does not necessarily justify a call for eradication. Previous experiences with eradications have learnt that a feasibility study, encompassing all aspects of biological invasions (including public opinion and possible benefits of the invader) is critical for the achievement of any strategy against invasive species. This is essential, as ill-conceived calls for eradication could result in a public backlash, causing funding agencies and managers to shy away from the problems posed by invasive species.",2011,https://doi.org/10.1016/j.biocon.2011.05.001
Assessing the risks of introduced chickens and their pathogens to native birds in the Galápagos Archipelago,"Poultry production is an important economic activity on inhabited islands of the Galápagos archipelago. There has been a recent surge in both small-scale backyard chickens and larger scale broiler production associated with growth in the human population and the tourist industry. With increased poultry production, concerns have been expressed about the increasing risk of transfer of disease from chickens to native Galápagos bird species that may have little resistance to introduced pathogens [Wikelski, M., Foufopoulos, J., Vargas, H., Snell, H., 2004. Galápagos birds and diseases: invasive pathogens as threats for island species. Ecology and Society 9(5). Available from: URL:http://www.ecologyandsociety.org/vol9/iss1/art5]. This study evaluates risks posed by chicken disease to endemic and native Galápagos bird species, based on empirical evidence of pathogens present in chickens on the islands and a literature review of effects of these pathogens in wild species. Pathogens identified in domestic chicken populations of immediate avian conservation concern are Newcastle disease, Mycoplasma gallisepticum, and the proventricular parasite Dispharynx sp. Newcastle disease (avian paramyxovirus-1) poses an imminent threat to Galápagos penguins (Spheniscus mendiculus), flightless cormorants (Phalacrocorax harrisi), and lava gulls (Larus fuliginosus), species with very small population sizes (less than 1500 animals each). Additionally, litter from broiler farms could affect ecological processes in local ecosystems. Improved poultry biosecurity measures are urgently needed on the Galápagos Islands for avian disease management, yet developing these strategies presents political, social, and economic challenges.",2005,10.1016/j.biocon.2005.06.025
Past and present status and conservation of the seabirds breeding in the Azores Archipelago,"The breeding seabirds of the Azores comprise five species of Procellariiformes, four Charadriiformes and one Pelecaniform. This paper reviews their past and present status, ecology and conservation. Historical population trends inferred from 16th and 17th century chronicles indicate dramatic declines for most species. While the main islands were important breeding places in the past, most seabird populations are now restricted to small islets. Intra- and inter-specific competition for nest sites is noteworthy among burrowing Procellariiformes and shortage of optimal breeding habitat seems important in limiting their populations. The chick-rearing periods of Procellariiformes with similar ecological niche do not overlap, suggesting that segregation related to partitioning of food resources or breeding habitat may be operating. Current threats to the Azores seabirds are diverse and may differentially affect the various species. They range from predation by introduced mammals, human disturbance and exploitation, habitat loss due to invasive alien plants and overgrazing by rabbits, and, potentially, competition with fisheries. Although the importance of the Azores seabird fauna was recognised in recent inventories, accurate population estimates are lacking and many potential breeding areas need surveying. For effective conservation much direct action is needed, including management plans for virtually all sites and wardening at the most important sites.",1996,https://doi.org/10.1016/S0006-3207(96)00037-7
Meta-analysis of avian and small-mammal response to fire severity and fire surrogate treatments in U.S. fire-prone forests,"Management in fire-prone ecosystems relies widely upon application of prescribed fire and/or fire surrogate (e.g., forest thinning) treatments to maintain biodiversity and ecosystem function. Recently, published literature examining wildlife response to fire and fire management has increased rapidly. However, none of this literature has been synthesized quantitatively, precluding assessment of consistent patterns of wildlife response among treatment types. Using meta-analysis, we examined the scientific literature on vertebrate demographic responses to burn severity (low/moderate, high), fire surrogates (forest thinning), and fire and fire surrogate combined treatments in the most extensively studied fire-prone, forested biome (forests of the United States). Effect sizes (magnitude of response) and their 95% confidence limits (response consistency) were estimated for each species-by-treatment combination with two or more observations. We found 41 studies of 119 bird and 17 small-mammal species that examined short-term responses (< or =4 years) to thinning, low/moderate- and high-severity fire, and thinning plus prescribed fire; data on other taxa and at longer time scales were too sparse to permit quantitative assessment. At the stand scale (<50 ha), thinning and low/moderate-severity fire demonstrated similar response patterns in these forests. Combined thinning plus prescribed fire produced a higher percentage of positive responses. High-severity fire provoked stronger responses, with a majority of species possessing higher or lower effect sizes relative to fires of lower severity. In the short term and at fine spatial scales, fire surrogate forest-thinning treatments appear to effectively mimic low/moderate-severity fire, whereas low/moderate-severity fire is not a substitute for high-severity fire. The varied response of taxa to each of the four conditions considered makes it clear that the full range of fire-based disturbances (or their surrogates) is necessary to maintain a full complement of vertebrate species, including fire-sensitive taxa. This is especially true for high-severity fire, where positive responses from many avian taxa suggest that this disturbance (either as wildfire or prescribed fire) should be included in management plans where it is consistent with historic fire regimes and where maintenance of regional vertebrate biodiversity is a goal.",2012,10.1890/12-0009.1
A review of the impacts of nature based recreation on birds,"Nature based recreation such as wildlife viewing, hiking, running, cycling, canoeing, horse riding and dog walking can have negative environmental effects. A review of the recreation ecology literature published in English language academic journals identified 69 papers from 1978 to 2010 that examined the effect of these activities on birds. Sixty-one of the papers (88%) found negative impacts, including changes in bird physiology (all 11 papers), immediate behaviour (37 out of 41 papers), as well as changes in abundance (28 out of 33 papers) and reproductive success (28 out of 33 papers). Previous studies are concentrated in a few countries (United States, England, Argentina and New Zealand), mostly in cool temperate or temperate climatic zones, often in shoreline or wetland habitats, and mostly on insectivore, carnivore and crustaceovore/molluscivore foraging guilds. There is limited research in some regions with both high bird diversity and nature based recreation such as mainland Australia, Central America, Asia, and Africa, and for popular activities such as mountain bike riding and horse riding. It is clear, however, that non-motorised nature based recreation has negative impacts on a diversity of birds from a range of habitats in different climatic zones and regions of the world.",2011,https://doi.org/10.1016/j.jenvman.2011.05.005
Inter-specific variation in avian responses to human disturbance,"Increasing urbanization and recreational activities around and within biodiversity hotspots require an understanding of how to reduce the impacts of human disturbance on more than a single species; however, we lack a general framework to study multiple species. One approach is to expand on knowledge about the theory of anti-predator behaviour to understand and predict how different species might respond to humans.

2
We reviewed the literature and found that only 21% of studies that used a behavioural approach to study human disturbance focused on multiple species. These studies identified a number of potential predictive variables.

3
We developed a simulation model that investigates interspecific variation in different parameters of disturbance with variation in human visitation. We found that fitness-related responses, such as the quantity of food consumed by a species, are relatively sensitive to the distance at which animals detect humans, the frequency of disturbance by humans and the interaction of these factors, but are less sensitive to other characteristics.

4
We examined avian alert distance (the distance animals first orientated to an approaching threat, a proxy for detection distance) across 150 species, controlling for phylogenetic effects. We found that larger species had greater alert distances than smaller species, which could increase local spatial and temporal limitations on suitable habitat with increasing human visitation.

5
Synthesis and applications. Our results suggest that body size could be a potential predictor of responses to human disturbance across species, and could be used by managers to make conservation decisions regarding levels of human visitation to a protected site. We suggest that three things are essential to develop predictive models of how different species will respond to human disturbance. First, multiple indicators of disturbance should be studied to select those with lower intraspecific variation for a given study system. Secondly, the species-specific nature of responses should be identified. Thirdly, life history, natural history and other correlates with these species-specific responses must be assessed.",2005,https://doi.org/10.1111/j.1365-2664.2005.01071.x
One Hundred Fifty Years of Change in Forest Bird Breeding Habitat: Estimates of Species Distributions,"Evaluating bird population trends requires baseline data. In North America the earliest population data available are those from the late 1960s. Forest conditions in the northern Great Lake states (U.S.A.), however, have undergone succession since the region was originally cut over around the turn of the twentieth century, and it is expected that bird populations have undergone concomitant change. We propose pre-Euro-American settlement as an alternative baseline for assessing changes in bird populations. We evaluated the amount, quality, and distribution of breeding bird habitat during the mid-1800s and early 1990s for three forest birds: the Pine Warbler (Dendroica pinus), Blackburnian Warbler (D. fusca), and Black-throated Green Warbler (D. virens). We constructed models of bird and habitat relationships based on literature review and regional data sets of bird abundance and applied these models to widely available vegetation data. Original public-land survey records represented historical habitat conditions, and a combination of forest inventory and national land-cover data represented current conditions. We assessed model robustness by comparing current habitat distribution to actual breeding bird locations from the Wisconsin Breeding Bird Atlas. The model showed little change in the overall amount of Pine Warbler habitat, whereas both the Blackburnian Warber and the Black-throated Green Warbler have experienced substantial habitat losses. For the species we examined, habitat quality has degraded since presettlement and the spatial distribution of habitat shifted among ecoregions, with range expansion accompanying forest incursion into previously open habitats or the replacement of native forests with pine plantations. Sources of habitat loss and degradation include loss of conifers and loss of large trees. Using widely available data sources in a habitat suitability model framework, our method provides a long-term analysis of change in bird habitat and a presettlement baseline for assessing current conservation priority.",2005,https://doi.org/10.1111/j.1523-1739.2005.00254.x
,,,
