original_index,subject,predicate,object,is_correct,error_codes,notes
6,Galapagos Cormorant,"may severely affect the survival of this endemic species, one of the world's rarest seabirds, through","recurrent human disturbance of the habitat where cormorants find their prey, mainly through alteration of the sea bottom for the capture of sea cucumbers [IUCN: 6.1 Recreational activities]",True,,
11,Homing Pigeon,"showed headings that deviated from the mean direction of untreated controls, with deflections ranging up to 60° and most pronounced at distances beyond 100 km from the home loft, with the direction of the pulse determining its specific effects, and a south-left pulse causing a significantly larger deflection than a south-anterior pulse on the day of treatment, with the number of releases with significant deflections seeming to decrease as time passed and birds had made additional homing flights",0.5-T magnetic pulse [IUCN: 12.1 Other threat],True,,
12,Seaside Sparrow,experienced a territorial pattern influenced by,low population density [IUCN: 12.1 Other threat],True,,
28,Shorebird,exhibit a shift in uropygial gland secretions composition to reduce,predation [IUCN: 8.2 Problematic native species/diseases],True,,
54,Rock Pigeon,showed that scavenging capacity to hydroxyl radicals was highest in fall and summer in brain tissue in response to,heat stress [IUCN: 11.3 Temperature extremes],True,,
61,Bird,pose risks to farmers through,crop damage [IUCN: 2.1 Annual & perennial non-timber crops],False,A,
129,Quail,"experience premature mass maturation, decrease and complete cessation of oviposition, and reproductive function weakening of muscle tone in response to",inadequate changes in external and internal environmental factors [IUCN: 11.1 Habitat shifting & alteration],True,,
195,Pheasant,experienced mortality due to,Newcastle disease [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
247,Black-capped Chickadee,exhibit significant population variation associated with different environmental pressures on spatial memory related to differences in,winter climate harshness [IUCN: 11.3 Temperature extremes],True,,
272,Chicken,causes aging of their reproductive system and then promotes cell redevelopment by providing water and feed again,fasting [IUCN: 6.1 Recreational activities],True,,
315,Bird,have avoidance responses that need data gathered on,avoidance behaviour [IUCN: 6.1 Recreational activities],False,"A,C,D",
352,Chicken,"show a significant reduction in Feed intake, weight gain ratio, total protein intake and protein efficiency ratio, with breast muscle rate significantly reducing and total abdominal fat showing significant change after 7 days of exposure to",high temperature at 35 ± 1 °C for 8 h daily [IUCN: 11.3 Temperature extremes],True,,
353,Dwarf Yellow Chicken,did not show significant damaging consequences after exposure to,high temperature at 35 ± 1 °C for 8 h daily [IUCN: 11.3 Temperature extremes],False,A,
360,Ivory-billed Woodpecker,has experienced a broad reduction in habitat due to,intensified land use [IUCN: 2.1 Annual & perennial non-timber crops],True,,
408,Wild Duck,"experienced virus detections coinciding with the prevalence peak in domestic ducks, indicating a potential link to",prolonged undetected virus circulation [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
431,Woodpecker,exhibited,fuels reduction [IUCN: 7.1 Fire & fire suppression],False,C,
453,Griffon Vulture,show residues of veterinary drugs and other toxicants in unhatched eggs clearly associated with,residues of veterinary drugs and other toxicants [IUCN: 9.3 Agricultural & forestry effluents],False,D,
459,Bird,did not show consistent nutritional responses to,seasonal drought [IUCN: 11.2 Droughts],True,,
488,Sand Martin,"decreased the rate at which they fed nestlings, and captured more but smaller insects due to",experimentally increased tail ornament (long tail streamers) [IUCN: 12.1 Other threat],False,A,
510,Mule duck,"have been force-fed to develop a hepatic steatosis, also called “foie gras”, which is similar to the non-alcoholic fatty liver disease (NAFLD) described in humans and mammals, resulting in",force-feeding [IUCN: 5.1 Hunting & collecting terrestrial animals],True,,
555,House Sparrow,"experience weight loss, elevated glucocorticoid hormones, increased heart rate, increased resting adrenomedullary activation, and an altered heart rate response to acute stressors during the first weeks of",conditions of captivity [IUCN: 6.1 Recreational activities],True,,
574,Great Tit,individual differences in exploration declined with increasing,increasing impervious surface area [IUCN: 1.1 Housing & urban areas],True,,
604,Chicken,"exhibit histopathological changes, increased plasma creatine kinase and lactate dehydrogenase activities, elevated myeloperoxidase activity and overproduction of nitric oxide in muscle indicating",inflammation [IUCN: 8.2 Problematic native species/diseases],True,,
609,Golden Eagle,"show lead detected in blood of most, with varying levels from background to acute; lead in feathers correlated with blood lead, and concentrations in feathers were higher in adults than in juveniles and immatures",lead poisoning [IUCN: 9.4 Garbage & solid waste],True,,
642,Razorbill,had productivity affected by,temporal asynchrony between sandeel availability and seabird breeding schedules [IUCN: 11.1 Habitat shifting & alteration],True,,
649,Leghorn,"had reasonable long-term postmolt performance and eggshell quality, rather than optimal performance and eggshell quality due to",no salt diet [IUCN: 9.3 Agricultural & forestry effluents],True,,
665,Lohmann Selected Leghorn,was more severely affected by,Foot abscesses [IUCN: 8.2 Problematic native species/diseases],True,,
709,Japanese tit,had its nest abandoned after an adult was attacked and nine eggs were depredated at a nest box with a greatly enlarged entrance by,attacking an adult incubating Japanese tit and depredating nine tit eggs [IUCN: 8.1 Invasive non-native/alien species/diseases],False,"A,C,D",
725,Bird,utilize liver proteins (of which plasma proteins are a part) and/or plasma proteins to fulfil the role of amino acid supply when,dietary sources are limiting [IUCN: 12.1 Other threat],False,A,possibly indicative of a threat?
728,Piping Plover,experiences reduced breeding habitat due to,Reduced frequency and altered timing of flood events [IUCN: 7.2 Dams & water management/use],True,,
779,Owl,show a high prevalence of infection with,ingestion of the unicellular flagellate Trichomonas gallinae [IUCN: 8.2 Problematic native species/diseases],True,,
793,Red Kite,can be infected with the pathogenic lineage of,ingestion of the unicellular flagellate Trichomonas gallinae [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
804,Naked neck chicken,showed no depression in food intake and egg output at,30 °C [IUCN: 11.3 Temperature extremes],False,A,
821,Greylag Goose,may contribute to previously overlooked agricultural conflicts through,weed dispersal [IUCN: 2.1 Annual & perennial non-timber crops],True,,
827,White-bellied Sea Eagle,"was recorded soaring over the island, suggesting a potential preference for areas with",lack of disturbance [IUCN: 6.1 Recreational activities],False,A,"preferences in face of a threat, unsure of classification"
841,European quail,showed a reduction in,reduction in the nitrogen metabolization coefficient (NMC) [IUCN: 9.3 Agricultural & forestry effluents],False,"A,C,D",
842,European quail,experienced a worsening of,"feed intake, production and egg mass worsened [IUCN: 12.1 Other threat]",False,C,
883,Blackbird,"can destroy about 60-70% of the crop in a very short time, leading to complete crop loss if not deterred, causing",crop damage [IUCN: 2.1 Annual & perennial non-timber crops],False,A,
946,Magpie,shows evidence of,synurbization of some bird species [IUCN: 1.1 Housing & urban areas],True,,
1024,Turkey,"had more frequent bouts of different behaviours that were of shorter duration than birds on wet litter; T-patterns (behavioural sequences) were more frequent, varied and complex on dry than on wet",dry litter [IUCN: 2.1 Annual & perennial non-timber crops],True,,
1054,Yelkouan Shearwater,"showed a high occurrence of and a number of small plastic particles per affected bird, averaging",plastic ingestion [IUCN: 9.4 Garbage & solid waste],True,,
1068,Restricted-range bird species,have a threat status better predicted by,agricultural land use [IUCN: 2.1 Annual & perennial non-timber crops],False,A,
1107,White-crowned Sparrow,"appeared after the falling of dead trees and disappeared progressively as forests matured, suggesting that",fire suppression [IUCN: 7.1 Fire & fire suppression],True,,
1113,Alcid,have reduced interspecific competition by means,interspecific competition for food [IUCN: 8.2 Problematic native species/diseases],False,"A,C,D",
1122,Eagle,go extinct due to,wanton killing off [IUCN: 5.1 Hunting & collecting terrestrial animals],True,,
1181,Songbird,show increased antibody prevalence of,West Nile virus (WNV) [IUCN: 8.1 Invasive non-native/alien species/diseases],False,A,
1184,Chicken,showed a significant decrease in whole blood potassium concentrations as early as six hr. following transfer from,higher temperatures [IUCN: 11.3 Temperature extremes],True,,
1202,Chicken,may be fed imported feed additives that are,falsified [IUCN: 8.1 Invasive non-native/alien species/diseases],False,C,
1211,Common Blackbird,"modified some components of their immunity, but only when considering body condition and growth rate, indicating a multifaceted immunological response to and an important mediator role of nestlings’ developmental conditions.  Predation risk induced a suppression of IgY but an increase in lymphocytes in nestlings with poor body condition. In addition, experimental but not control nestlings showed a negative correlation between growth and heterophils, demonstrating that nest predation risk can affect the interaction between growth and",elevated nest predation risk [IUCN: 12.1 Other threat],True,,
1248,Willow Ptarmigan,has its upper range limit restricted by,competition [IUCN: 8.2 Problematic native species/diseases],True,,
1270,Song Sparrow,"have impaired development of HVC and altered growth, endocrine physiology, metabolism, and immune-function, often in a sex-specific manner, due to",developmental stressors [IUCN: 9.3 Agricultural & forestry effluents],True,,
1279,Brown Pelican,experienced intense fighting despite,brood reduction [IUCN: 6.1 Recreational activities],True,,
1317,Saker Falcon,may reflect adaptation to,hypothermia [IUCN: 11.3 Temperature extremes],True,,
1330,Great Grey Shrike,show low potential for viable populations due to,peat mining [IUCN: 3.2 Mining & quarrying],True,,
1412,House Finch,show adaptive modifications of bite force and bill morphology and associated divergence in courtship song between the two habitats due to,divergent selection on traits involved in both local adaptation and the production of mating signals [IUCN: 12.1 Other threat],False,A,
1448,Calandra Lark,seem to take advantage of marginal irrigated crops fringing the wetland that could compensate for the loss of,loss of original agricultural habitats [IUCN: 2.1 Annual & perennial non-timber crops],False,A,
